X,Y
1158,894
1424,888
1160,894
1424,884
1424,882
1160,892
1336,884
1424,880
1160,886
1158,888
1424,882
1426,882
1426,880
1426,878
1160,888
1160,888
1436,878
1436,880
1434,880
1436,882
1158,890
1434,884
1156,892
1160,890
1444,898
1178,902
1178,906
1182,908
1450,908
1610,232
1190,918
1188,918
1454,908
1368,910
1190,914
1460,910
1202,922
1380,920
1198,924
1376,918
1272,934
1650,692
1278,936
1654,694
1546,930
1276,934
1280,938
1280,936
1552,928
1280,934
1552,928
944,598
1282,946
806,764
1280,944
438,48
1276,976
1276,976
596,992
1452,998
1544,1012
968,872
1542,1030
590,1046
964,884
962,888
1544,1040
970,922
970,922
972,208
1822,868
1460,1052
1460,1052
1550,1050
968,914
1766,668
892,492
1750,726
904,494
1562,1064
1896,1056
1496,1048
1564,1064
1900,1054
1564,1062
1564,1066
1900,1056
1564,1066
1566,1064
1558,1062
1566,1062
1900,1052
1558,1060
1564,1064
1900,1054
1560,1062
1560,1060
1564,1064
1564,1066
1022,1062
1564,1066
1566,1066
1750,1066
1498,1062
1500,1060
1558,1074
940,22
1562,1076
1564,1074
1522,1032
1424,1024
1790,952
1348,956
1416,948
1416,948
1752,942
474,1008
1746,970
1738,982
1138,1046
1398,1034
1142,1044
1318,1036
1322,1040
1326,1052
1742,1040
20,834
28,660
1426,1064
34,834
1424,1062
34,836
36,836
34,836
1426,1064
140,730
1122,70
946,700
224,484
36,168
1210,450
160,424
1232,242
334,800
996,668
66,226
928,560
40,844
380,518
988,442
946,700
1020,352
764,438
462,464
630,706
680,778
1054,472
1024,554
614,974
536,488
760,410
56,124
420,188
616,314
276,780
1116,802
290,556
290,556
270,508
874,114
1192,704
780,524
108,682
646,798
64,638
812,324
986,468
112,920
110,918
846,732
764,932
1198,458
704,570
564,602
564,602
432,158
312,668
1026,556
600,688
