X,Y
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1054
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1032,1053
1249,507
1249,507
1249,507
1249,507
1249,507
1249,507
1249,507
1249,506
1248,506
1248,506
1247,505
1239,681
1095,725
1018,722
955,703
919,684
871,652
832,613
817,585
792,539
781,497
775,469
639,587
671,595
713,611
760,634
790,649
831,677
878,710
910,733
961,775
1021,818
1066,849
1138,891
1155,717
1166,713
1184,707
1197,702
1219,692
1177,381
1149,384
1103,398
1069,427
1050,452
1012,494
1020,553
1020,594
875,655
879,659
883,661
840,371
795,388
766,403
722,432
680,468
656,497
620,546
592,604
577,645
1162,715
1233,683
1277,652
1330,596
1361,539
1375,505
1381,453
1383,414
1380,389
1370,348
1363,325
1355,308
1339,279
1331,267
1323,256
1316,247
1305,235
1301,230
1381,401
1381,433
1379,468
1361,536
1344,572
1303,629
1263,665
1187,705
1134,719
1061,726
996,717
958,705
551,744
533,712
530,657
552,602
572,568
608,523
650,485
679,464
728,438
776,418
806,409
861,400
912,395
945,699
957,705
971,710
981,713
997,717
1341,578
1307,623
1341,578
1357,548
1323,844
1253,810
1187,769
1146,743
1092,702
1047,661
1010,638
980,605
963,566
945,547
591,388
563,395
545,402
514,422
496,445
490,465
488,497
487,532
493,558
510,597
537,637
557,664
590,705
627,747
1358,545
1360,542
1358,545
1353,556
1349,564
1343,575
1339,581
1337,584
1335,587
1334,588
1334,589
1334,589
1333,590
1333,590
1332,592
1330,595
1328,598
1283,305
1255,312
1229,324
1180,348
798,660
769,696
728,754
697,817
683,859
684,910
727,923
765,910
805,567
795,546
791,536
788,529
790,533
793,542
1212,358
1219,341
1224,326
1233,298
1238,284
1242,271
1250,250
1254,240
1258,232
1265,222
1270,219
1274,218
1282,220
1286,224
1291,229
1300,243
1305,254
1029,996
990,971
928,898
898,847
858,775
829,706
814,663
797,604
786,553
780,523
769,479
761,446
755,425
744,388
639,280
651,270
639,280
632,289
626,300
615,325
608,343
